timestamp_utc,run_name,mode,git_sha,git_dirty,score,score_key,run_dir,notes
2026-06-03T07:27:08.080113+00:00,scale-window-20260603T064353Z-eaf6b40,full,eaf6b40d43e3d76fc4cf25b1e1de8ad9f85cd7fc,0,0.990234,metrics.eval_clean.loop3.label_exact,runs/scale-window-20260603T064353Z-eaf6b40,GPU1 scale-up window run d_model96 layers8 batch384 steps800 eval1024
2026-06-03T09:55:48.965553+00:00,9x9-cliff-20260603T090939Z-d8ce276,full,d8ce276da2463c30ae865cd5ba6f4bab4bdee0f5,0,,missing_result_json,runs/9x9-cliff-20260603T090939Z-d8ce276,2026-06-03T09:24Z abort: 9x9 RWKV toy PyTorch scan failed step100 latency kill criterion; pivot to CUDA RWKV7 before further scale-up.
2026-06-03T09:55:49.014423+00:00,9x9-cliff-small-20260603T092602Z-d8ce276,full,d8ce276da2463c30ae865cd5ba6f4bab4bdee0f5,0,,missing_result_json,runs/9x9-cliff-small-20260603T092602Z-d8ce276,"2026-06-03T09:51Z abort: smaller 9x9 probe stopped after user-directed insight that current RWKV is toy/inefficient; next decision is CUDA RWKV7 integration, not more batch/curriculum tuning."
2026-06-03T10:24:27.574823+00:00,rwkv7-statepassing-smoke-20260603T102408Z-3323172,smoke,3323172bfe2b395d05d13bcf30abd1b810be18d5,0,0.000000,metrics.eval_clean.loop1.label_exact,runs/rwkv7-statepassing-smoke-20260603T102408Z-3323172,2026-06-03T10:24:08Z GPU1 A100 CUDA state-passing RWKV7 smoke at 3323172. Purpose: verify official RWKV-CUDA statepassing clampw compiles and runs forward/backward after wind movmatrix failure on sm80. Result: 1-step 4x4 smoke completed; score is not a model-quality signal.
2026-06-03T10:30:17.025354+00:00,rwkv7-wind-smoke-20260603T101148Z-65e20a5,smoke,65e20a52839b3429c89310d4480c97ae478344bd,0,,missing_result_json,runs/rwkv7-wind-smoke-20260603T101148Z-65e20a5,"2026-06-03T10:11:48Z GPU1 A100 wind CUDA compile probe at 65e20a5. Insight: modded-nanogpt wind source reaches ptxas but fails on movmatrix for sm80/CUDA12.6, so wind is not a viable GPU1 default. Decision: switch to official RWKV-CUDA statepassing clampw."
2026-06-03T10:30:32.906379+00:00,9x9-rwkv7-cuda-throughput-20260603T103019Z-2c21f96,full,2c21f96b548ccf464b65e02e08a443dd56e1fe16,0,0.000000,metrics.eval_clean.loop2.label_exact,runs/9x9-rwkv7-cuda-throughput-20260603T103019Z-2c21f96,"2026-06-03T10:30:19Z GPU1 9x9 CUDA throughput probe at 2c21f96. Insight: after switching from toy PyTorch scan to RWKV7 statepassing CUDA, step100 appears quickly and CE drops below 1.0 by step100 (0.9449), so the previous 9x9 kill was implementation throughput, not evidence against the FutureSeed hypothesis. Decision: eligible for a real 800-step 9x9 cliff run; 120-step exact=0 is not a quality conclusion."
2026-06-03T10:41:14.726838+00:00,9x9-cliff-cuda-20260603T103352Z-92ee7b9,full,92ee7b9eff3d8c092fc624372e94fc1b65cc5977,0,1.000000,metrics.eval_clean.loop5.label_exact,runs/9x9-cliff-cuda-20260603T103352Z-92ee7b9,"2026-06-03T10:33:52Z GPU1 9x9 viability cliff with official RWKV7 statepassing CUDA at 92ee7b9. Hypothesis: after replacing toy PyTorch RWKV with CUDA, FutureSeed/RWKV should scale from saturated 6x6 to real 9x9 constraints. Result: holes8 loop5 exact=1.0000, holes12=0.9629, holes16=0.8535; full-board loop1=0.9629 and loop5=1.0000; K8 oracle gap ~0. Decision: continue CUDA 9x9 direction; selector work is low priority."
2026-06-03T11:17:47.644570+00:00,9x9-ablate-no-loop-20260603T111606Z-5e2253f,full,5e2253f73a65ff7e7e128f5370b844f342710860,0,0.992188,metrics.eval_clean.loop1.label_exact,runs/9x9-ablate-no-loop-20260603T111606Z-5e2253f,"2026-06-03T11:16:06Z GPU1 9x9 ablation at 5e2253f. Hypothesis: remove outer recurrent loop to test whether 9x9 success is mostly one-pass local mapping. Result: holes12=0.9551, holes16=0.7715, full loop1=0.9922; compared with baseline holes16 loop5=0.8535. Decision: loop is not required for easy 8/12-hole solve, but contributes hard-hole global refinement (+0.082 holes16 vs no-loop; baseline loop gain +0.336)."
2026-06-03T11:24:49.883646+00:00,9x9-ablate-no-future-seed-20260603T111747Z-5e2253f,full,5e2253f73a65ff7e7e128f5370b844f342710860,0,0.066406,metrics.eval_clean.loop5.label_exact,runs/9x9-ablate-no-future-seed-20260603T111747Z-5e2253f,"2026-06-03T11:17:47Z GPU1 9x9 ablation at 5e2253f. Hypothesis: FUTURE_SEED_SCALE=0 tests whether cross-layer terminal-state seeding is structural or cosmetic. Result: train CE stayed high at step800=0.4498; full loop5 exact=0.0664, holes12=0.0195, holes16=0.0000; K8 oracle gap=0.127. Decision: FutureSeed is essential for 9x9 scaling and trajectory stability; do not spend next budget on longer no-seed training except as a targeted optimization study."
2026-06-03T11:32:13.343202+00:00,9x9-ablate-no-feature-noise-20260603T112449Z-5e2253f,full,5e2253f73a65ff7e7e128f5370b844f342710860,0,1.000000,metrics.eval_clean.loop5.label_exact,runs/9x9-ablate-no-feature-noise-20260603T112449Z-5e2253f,"2026-06-03T11:24:49Z GPU1 9x9 ablation at 5e2253f. Hypothesis: NOISE_SCALE=0 tests whether feature-diff noise is useful regularization or harmful variance after CUDA scale-up. Result: train CE step800=0.0007, holes12=0.9766, holes16=0.9004, K8 selector gap=0.000; this beats baseline holes16=0.8535. Decision: disable or reduce training feature noise for the next 9x9 scale run; keep rollout selector work low priority when FutureSeed is enabled."
